A/5 21171		3	S	7.25	1
PC 17599	C85	1	C	71.2833	2
STON/O2. 3101282		3	S	7.925	3
113803	C123	1	S	53.1	4
373450		3	S	8.05	5
330877		3	Q	8.4583	6
17463	E46	1	S	51.8625	7
349909		3	S	21.075	8
347742		3	S	11.1333	9
237736		2	C	30.0708	10
PP 9549	G6	3	S	16.7	11
113783	C103	1	S	26.55	12
A/5. 2151		3	S	8.05	13
347082		3	S	31.275	14
350406		3	S	7.8542	15
248706		2	S	16	16
382652		3	Q	29.125	17
244373		2	S	13	18
345763		3	S	18	19
2649		3	C	7.225	20
239865		2	S	26	21
248698	D56	2	S	13	22
330923		3	Q	8.0292	23
113788	A6	1	S	35.5	24
349909		3	S	21.075	25
347077		3	S	31.3875	26
2631		3	C	7.225	27
19950	C23 C25 C27	1	S	263	28
330959		3	Q	7.8792	29
349216		3	S	7.8958	30
PC 17601		1	C	27.7208	31
PC 17569	B78	1	C	146.5208	32
335677		3	Q	7.75	33
C.A. 24579		2	S	10.5	34
PC 17604		1	C	82.1708	35
113789		1	S	52	36
2677		3	C	7.2292	37
A./5. 2152		3	S	8.05	38
345764		3	S	18	39
2651		3	C	11.2417	40
7546		3	S	9.475	41
11668		2	S	21	42
349253		3	C	7.8958	43
SC/Paris 2123		2	C	41.5792	44
330958		3	Q	7.8792	45
S.C./A.4. 23567		3	S	8.05	46
370371		3	Q	15.5	47
14311		3	Q	7.75	48
2662		3	C	21.6792	49
349237		3	S	17.8	50
3101295		3	S	39.6875	51
A/4. 39886		3	S	7.8	52
PC 17572	D33	1	C	76.7292	53
2926		2	S	26	54
113509	B30	1	C	61.9792	55
19947	C52	1	S	35.5	56
C.A. 31026		2	S	10.5	57
2697		3	C	7.2292	58
C.A. 34651		2	S	27.75	59
CA 2144		3	S	46.9	60
2669		3	C	7.2292	61
113572	B28	1		80	62
36973	C83	1	S	83.475	63
347088		3	S	27.9	64
PC 17605		1	C	27.7208	65
2661		3	C	15.2458	66
C.A. 29395	F33	2	S	10.5	67
S.P. 3464		3	S	8.1583	68
3101281		3	S	7.925	69
315151		3	S	8.6625	70
C.A. 33111		2	S	10.5	71
CA 2144		3	S	46.9	72
S.O.C. 14879		2	S	73.5	73
2680		3	C	14.4542	74
1601		3	S	56.4958	75
348123	F G73	3	S	7.65	76
349208		3	S	7.8958	77
374746		3	S	8.05	78
248738		2	S	29	79
364516		3	S	12.475	80
345767		3	S	9	81
345779		3	S	9.5	82
330932		3	Q	7.7875	83
113059		1	S	47.1	84
SO/C 14885		2	S	10.5	85
3101278		3	S	15.85	86
W./C. 6608		3	S	34.375	87
SOTON/OQ 392086		3	S	8.05	88
19950	C23 C25 C27	1	S	263	89
343275		3	S	8.05	90
343276		3	S	8.05	91
347466		3	S	7.8542	92
W.E.P. 5734	E31	1	S	61.175	93
C.A. 2315		3	S	20.575	94
364500		3	S	7.25	95
374910		3	S	8.05	96
PC 17754	A5	1	C	34.6542	97
PC 17759	D10 D12	1	C	63.3583	98
231919		2	S	23	99
244367		2	S	26	100
349245		3	S	7.8958	101
349215		3	S	7.8958	102
35281	D26	1	S	77.2875	103
7540		3	S	8.6542	104
3101276		3	S	7.925	105
349207		3	S	7.8958	106
343120		3	S	7.65	107
312991		3	S	7.775	108
349249		3	S	7.8958	109
371110		3	Q	24.15	110
110465	C110	1	S	52	111
2665		3	C	14.4542	112
324669		3	S	8.05	113
4136		3	S	9.825	114
2627		3	C	14.4583	115
STON/O 2. 3101294		3	S	7.925	116
370369		3	Q	7.75	117
11668		2	S	21	118
PC 17558	B58 B60	1	C	247.5208	119
347082		3	S	31.275	120
S.O.C. 14879		2	S	73.5	121
A4. 54510		3	S	8.05	122
237736		2	C	30.0708	123
27267	E101	2	S	13	124
35281	D26	1	S	77.2875	125
2651		3	C	11.2417	126
370372		3	Q	7.75	127
C 17369		3	S	7.1417	128
2668	F E69	3	C	22.3583	129
347061		3	S	6.975	130
349241		3	C	7.8958	131
SOTON/O.Q. 3101307		3	S	7.05	132
A/5. 3337		3	S	14.5	133
228414		2	S	26	134
C.A. 29178		2	S	13	135
SC/PARIS 2133		2	C	15.0458	136
11752	D47	1	S	26.2833	137
113803	C123	1	S	53.1	138
7534		3	S	9.2167	139
PC 17593	B86	1	C	79.2	140
2678		3	C	15.2458	141
347081		3	S	7.75	142
STON/O2. 3101279		3	S	15.85	143
365222		3	Q	6.75	144
231945		2	S	11.5	145
C.A. 33112		2	S	36.75	146
350043		3	S	7.7958	147
W./C. 6608		3	S	34.375	148
230080	F2	2	S	26	149
244310		2	S	13	150
S.O.P. 1166		2	S	12.525	151
113776	C2	1	S	66.6	152
A.5. 11206		3	S	8.05	153
A/5. 851		3	S	14.5	154
Fa 265302		3	S	7.3125	155
PC 17597		1	C	61.3792	156
35851		3	Q	7.7333	157
SOTON/OQ 392090		3	S	8.05	158
315037		3	S	8.6625	159
CA. 2343		3	S	69.55	160
371362		3	S	16.1	161
C.A. 33595		2	S	15.75	162
347068		3	S	7.775	163
315093		3	S	8.6625	164
3101295		3	S	39.6875	165
363291		3	S	20.525	166
113505	E33	1	S	55	167
347088		3	S	27.9	168
PC 17318		1	S	25.925	169
1601		3	S	56.4958	170
111240	B19	1	S	33.5	171
382652		3	Q	29.125	172
347742		3	S	11.1333	173
STON/O 2. 3101280		3	S	7.925	174
17764	A7	1	C	30.6958	175
350404		3	S	7.8542	176
4133		3	S	25.4667	177
PC 17595	C49	1	C	28.7125	178
250653		2	S	13	179
LINE		3	S	0	180
CA. 2343		3	S	69.55	181
SC/PARIS 2131		2	C	15.05	182
347077		3	S	31.3875	183
230136	F4	2	S	39	184
315153		3	S	22.025	185
113767	A32	1	S	50	186
370365		3	Q	15.5	187
111428		1	S	26.55	188
364849		3	Q	15.5	189
349247		3	S	7.8958	190
234604		2	S	13	191
28424		2	S	13	192
350046		3	S	7.8542	193
230080	F2	2	S	26	194
PC 17610	B4	1	C	27.7208	195
PC 17569	B80	1	C	146.5208	196
368703		3	Q	7.75	197
4579		3	S	8.4042	198
370370		3	Q	7.75	199
248747		2	S	13	200
345770		3	S	9.5	201
CA. 2343		3	S	69.55	202
3101264		3	S	6.4958	203
2628		3	C	7.225	204
A/5 3540		3	S	8.05	205
347054	G6	3	S	10.4625	206
3101278		3	S	15.85	207
2699		3	C	18.7875	208
367231		3	Q	7.75	209
112277	A31	1	C	31	210
SOTON/O.Q. 3101311		3	S	7.05	211
F.C.C. 13528		2	S	21	212
A/5 21174		3	S	7.25	213
250646		2	S	13	214
367229		3	Q	7.75	215
35273	D36	1	C	113.275	216
STON/O2. 3101283		3	S	7.925	217
243847		2	S	27	218
11813	D15	1	C	76.2917	219
W/C 14208		2	S	10.5	220
SOTON/OQ 392089		3	S	8.05	221
220367		2	S	13	222
21440		3	S	8.05	223
349234		3	S	7.8958	224
19943	C93	1	S	90	225
PP 4348		3	S	9.35	226
SW/PP 751		2	S	10.5	227
A/5 21173		3	S	7.25	228
236171		2	S	13	229
4133		3	S	25.4667	230
36973	C83	1	S	83.475	231
347067		3	S	7.775	232
237442		2	S	13.5	233
347077		3	S	31.3875	234
C.A. 29566		2	S	10.5	235
W./C. 6609		3	S	7.55	236
26707		2	S	26	237
C.A. 31921		2	S	26.25	238
28665		2	S	10.5	239
SCO/W 1585		2	S	12.275	240
2665		3	C	14.4542	241
367230		3	Q	15.5	242
W./C. 14263		2	S	10.5	243
STON/O 2. 3101275		3	S	7.125	244
2694		3	C	7.225	245
19928	C78	1	Q	90	246
347071		3	S	7.775	247
250649		2	S	14.5	248
11751	D35	1	S	52.5542	249
244252		2	S	26	250
362316		3	S	7.25	251
347054	G6	3	S	10.4625	252
113514	C87	1	S	26.55	253
A/5. 3336		3	S	16.1	254
370129		3	S	20.2125	255
2650		3	C	15.2458	256
PC 17585		1	C	79.2	257
110152	B77	1	S	86.5	258
PC 17755		1	C	512.3292	259
230433		2	S	26	260
384461		3	Q	7.75	261
347077		3	S	31.3875	262
110413	E67	1	S	79.65	263
112059	B94	1	S	0	264
382649		3	Q	7.75	265
C.A. 17248		2	S	10.5	266
3101295		3	S	39.6875	267
347083		3	S	7.775	268
PC 17582	C125	1	S	153.4625	269
PC 17760	C99	1	S	135.6333	270
113798		1	S	31	271
LINE		3	S	0	272
250644		2	S	19.5	273
PC 17596	C118	1	C	29.7	274
370375		3	Q	7.75	275
13502	D7	1	S	77.9583	276
347073		3	S	7.75	277
239853		2	S	0	278
382652		3	Q	29.125	279
C.A. 2673		3	S	20.25	280
336439		3	Q	7.75	281
347464		3	S	7.8542	282
345778		3	S	9.5	283
A/5. 10482		3	S	8.05	284
113056	A19	1	S	26	285
349239		3	C	8.6625	286
345774		3	S	9.5	287
349206		3	S	7.8958	288
237798		2	S	13	289
370373		3	Q	7.75	290
19877		1	S	78.85	291
11967	B49	1	C	91.0792	292
SC/Paris 2163	D	2	C	12.875	293
349236		3	S	8.85	294
349233		3	S	7.8958	295
PC 17612		1	C	27.7208	296
2693		3	C	7.2292	297
113781	C22 C26	1	S	151.55	298
19988	C106	1	S	30.5	299
PC 17558	B58 B60	1	C	247.5208	300
9234		3	Q	7.75	301
367226		3	Q	23.25	302
LINE		3	S	0	303
226593	E101	2	Q	12.35	304
A/5 2466		3	S	8.05	305
113781	C22 C26	1	S	151.55	306
17421		1	C	110.8833	307
PC 17758	C65	1	C	108.9	308
P/PP 3381		2	C	24	309
PC 17485	E36	1	C	56.9292	310
11767	C54	1	C	83.1583	311
PC 17608	B57 B59 B63 B66	1	C	262.375	312
250651		2	S	26	313
349243		3	S	7.8958	314
F.C.C. 13529		2	S	26.25	315
347470		3	S	7.8542	316
244367		2	S	26	317
29011		2	S	14	318
36928	C7	1	S	164.8667	319
16966	E34	1	C	134.5	320
A/5 21172		3	S	7.25	321
349219		3	S	7.8958	322
234818		2	Q	12.35	323
248738		2	S	29	324
CA. 2343		3	S	69.55	325
PC 17760	C32	1	C	135.6333	326
345364		3	S	6.2375	327
28551	D	2	S	13	328
363291		3	S	20.525	329
111361	B18	1	C	57.9792	330
367226		3	Q	23.25	331
113043	C124	1	S	28.5	332
PC 17582	C91	1	S	153.4625	333
345764		3	S	18	334
PC 17611		1	S	133.65	335
349225		3	S	7.8958	336
113776	C2	1	S	66.6	337
16966	E40	1	C	134.5	338
7598		3	S	8.05	339
113784	T	1	S	35.5	340
230080	F2	2	S	26	341
19950	C23 C25 C27	1	S	263	342
248740		2	S	13	343
244361		2	S	13	344
229236		2	S	13	345
248733	F33	2	S	13	346
31418		2	S	13	347
386525		3	S	16.1	348
C.A. 37671		3	S	15.9	349
315088		3	S	8.6625	350
7267		3	S	9.225	351
113510	C128	1	S	35	352
2695		3	C	7.2292	353
349237		3	S	17.8	354
2647		3	C	7.225	355
345783		3	S	9.5	356
113505	E33	1	S	55	357
237671		2	S	13	358
330931		3	Q	7.8792	359
330980		3	Q	7.8792	360
347088		3	S	27.9	361
SC/PARIS 2167		2	C	27.7208	362
2691		3	C	14.4542	363
SOTON/O.Q. 3101310		3	S	7.05	364
370365		3	Q	15.5	365
C 7076		3	S	7.25	366
110813	D37	1	C	75.25	367
2626		3	C	7.2292	368
14313		3	Q	7.75	369
PC 17477	B35	1	C	69.3	370
11765	E50	1	C	55.4417	371
3101267		3	S	6.4958	372
323951		3	S	8.05	373
PC 17760		1	C	135.6333	374
349909		3	S	21.075	375
PC 17604		1	C	82.1708	376
C 7077		3	S	7.25	377
113503	C82	1	C	211.5	378
2648		3	C	4.0125	379
347069		3	S	7.775	380
PC 17757		1	C	227.525	381
2653		3	C	15.7417	382
STON/O 2. 3101293		3	S	7.925	383
113789		1	S	52	384
349227		3	S	7.8958	385
S.O.C. 14879		2	S	73.5	386
CA 2144		3	S	46.9	387
27849		2	S	13	388
367655		3	Q	7.7292	389
SC 1748		2	C	12	390
113760	B96 B98	1	S	120	391
350034		3	S	7.7958	392
3101277		3	S	7.925	393
35273	D36	1	C	113.275	394
PP 9549	G6	3	S	16.7	395
350052		3	S	7.7958	396
350407		3	S	7.8542	397
28403		2	S	26	398
244278		2	S	10.5	399
240929		2	S	12.65	400
STON/O 2. 3101289		3	S	7.925	401
341826		3	S	8.05	402
4137		3	S	9.825	403
STON/O2. 3101279		3	S	15.85	404
315096		3	S	8.6625	405
28664		2	S	21	406
347064		3	S	7.75	407
29106		2	S	18.75	408
312992		3	S	7.775	409
4133		3	S	25.4667	410
349222		3	S	7.8958	411
394140		3	Q	6.8583	412
19928	C78	1	Q	90	413
239853		2	S	0	414
STON/O 2. 3101269		3	S	7.925	415
343095		3	S	8.05	416
28220		2	S	32.5	417
250652		2	S	13	418
28228		2	S	13	419
345773		3	S	24.15	420
349254		3	C	7.8958	421
A/5. 13032		3	Q	7.7333	422
315082		3	S	7.875	423
347080		3	S	14.4	424
370129		3	S	20.2125	425
A/4. 34244		3	S	7.25	426
2003		2	S	26	427
250655		2	S	26	428
364851		3	Q	7.75	429
SOTON/O.Q. 392078	E10	3	S	8.05	430
110564	C52	1	S	26.55	431
376564		3	S	16.1	432
SC/AH 3085		2	S	26	433
STON/O 2. 3101274		3	S	7.125	434
13507	E44	1	S	55.9	435
113760	B96 B98	1	S	120	436
W./C. 6608		3	S	34.375	437
29106		2	S	18.75	438
19950	C23 C25 C27	1	S	263	439
C.A. 18723		2	S	10.5	440
F.C.C. 13529		2	S	26.25	441
345769		3	S	9.5	442
347076		3	S	7.775	443
230434		2	S	13	444
65306		3	S	8.1125	445
33638	A34	1	S	81.8583	446
250644		2	S	19.5	447
113794		1	S	26.55	448
2666		3	C	19.2583	449
113786	C104	1	S	30.5	450
C.A. 34651		2	S	27.75	451
65303		3	S	19.9667	452
113051	C111	1	C	27.75	453
17453	C92	1	C	89.1042	454
A/5 2817		3	S	8.05	455
349240		3	C	7.8958	456
13509	E38	1	S	26.55	457
17464	D21	1	S	51.8625	458
F.C.C. 13531		2	S	10.5	459
371060		3	Q	7.75	460
19952	E12	1	S	26.55	461
364506		3	S	8.05	462
111320	E63	1	S	38.5	463
234360		2	S	13	464
A/S 2816		3	S	8.05	465
SOTON/O.Q. 3101306		3	S	7.05	466
239853		2	S	0	467
113792		1	S	26.55	468
36209		3	Q	7.725	469
2666		3	C	19.2583	470
323592		3	S	7.25	471
315089		3	S	8.6625	472
C.A. 34651		2	S	27.75	473
SC/AH Basle 541	D	2	C	13.7917	474
7553		3	S	9.8375	475
110465	A14	1	S	52	476
31027		2	S	21	477
3460		3	S	7.0458	478
350060		3	S	7.5208	479
3101298		3	S	12.2875	480
CA 2144		3	S	46.9	481
239854		2	S	0	482
A/5 3594		3	S	8.05	483
4134		3	S	9.5875	484
11967	B49	1	C	91.0792	485
4133		3	S	25.4667	486
19943	C93	1	S	90	487
11771	B37	1	C	29.7	488
A.5. 18509		3	S	8.05	489
C.A. 37671		3	S	15.9	490
65304		3	S	19.9667	491
